material,plant,date,customer,qty
1000000,MY11,20170531,1000605,1.8
1000000,MY11,20170603,1000605,0.92
1000000,MY11,20170606,1000605,0.08
1000000,MY11,20170609,1000605,0.16
1000000,MY11,20170613,1000605,2.34
1000000,MY11,20170615,1000605,0.08
1000000,MY11,20170616,1000605,1.153
1000000,MY11,20170617,1000605,4.545
1000000,MY11,20170620,1000605,0.94
1000000,MY11,20170623,1000605,0.24
1000000,MY11,20170626,1000605,6.9
1000000,MY11,20170705,1000605,4.003
1000000,MY11,20170706,1000605,1.3
1000000,MY11,20170709,1000605,0.24
1000000,MY11,20170715,1000605,0.24
1000000,MY11,20170719,1000605,5.599
1000000,MY11,20170727,1000605,0.995
1000000,MY11,20170731,1000605,9
1000000,MY11,20170809,1000605,0.001
1000000,MY11,20170816,1000605,0.8
1000000,MY11,20170824,1000605,0.125
1000000,MY11,20170828,1000605,5.175
1000000,MY11,20170907,1000605,0.24
1000000,MY11,20170913,1000605,4.83
1000000,MY11,20170920,1000605,0.24
1000000,MY11,20170927,1000605,5.041
1000000,MY11,20171004,1000605,0.24
1000000,MY11,20171007,1000605,0.001
1000000,MY11,20171012,1000605,0.24
1000000,MY11,20171013,1000605,5.838
1000000,MY11,20171017,1000605,0.002
1000000,MY11,20171019,1000605,0.236
1000000,MY11,20171026,1000605,4.18
1000000,MY11,20171101,1000605,0.00E+00
1000000,MY11,20171102,1000605,0.24
1000000,MY11,20171108,1000605,5.2
1000000,MY11,20171110,1000605,0.28
1000000,MY11,20171114,1000605,4.92
1000000,MY11,20171116,1000605,0.2
1000000,MY11,20171128,1000605,0.236
1000000,MY11,20171129,1000605,0.24
1000000,MY11,20171206,1000605,1.04
1000000,MY11,20171207,1000605,3.2
1000000,MY11,20171214,1000605,1.04
1000000,MY11,20171216,1000605,1.6
1000000,MY11,20171220,1000605,4.153
1000000,MY11,20171228,1000605,0.24
1000000,MY11,20171230,1000605,0.4
1000000,MY11,20180103,1000605,5
1000000,MY11,20180104,1000605,0.24
1000000,MY11,20180110,1000605,0.24
1000000,MY11,20180117,1000605,5.032
1000000,MY11,20180125,1000605,0.709
1000000,MY11,20180126,1000605,0.8
1000000,MY11,20180130,1000605,0.24
1000000,MY11,20180131,1000605,5.1
1000000,MY11,20180207,1000605,3.692
1000000,MY11,20180208,1000605,1.101
1000002,MY11,20170605,1001359,0.2
1000002,MY11,20170607,1001359,0.3
1000002,MY11,20170704,1001359,0.8
1000002,MY11,20170809,1001359,0.8
1000002,MY11,20170911,1001359,0.8
1000002,MY11,20171009,1001359,0.8
1000002,MY11,20171025,1001359,1
1000002,MY11,20171206,1001359,1.5
1000002,MY11,20180110,1001359,1.8
1000003,MY11,20170531,1000452,0.02
1000003,MY11,20170531,1001451,0.005
1000003,MY11,20170601,1000473,0.001
1000003,MY11,20170601,1000125,0.02
1000003,MY11,20170601,1000165,0.005
1000003,MY11,20170602,1000434,0.005
1000003,MY11,20170602,1001341,0.003
1000003,MY11,20170603,1001453,0.1
1000003,MY11,20170603,1000731,0.03
1000003,MY11,20170603,1001604,0.002
1000003,MY11,20170603,1000473,0.001
1000003,MY11,20170603,1000457,0.02
1000003,MY11,20170603,1000455,0.005
1000003,MY11,20170603,1000433,0.002
1000003,MY11,20170604,1001737,0.004
1000003,MY11,20170605,1000609,0.075
1000003,MY11,20170606,1001479,0.07
1000003,MY11,20170606,1000466,0.02
1000003,MY11,20170606,1000125,0.02
1000003,MY11,20170606,1000458,0.03
1000003,MY11,20170606,1001521,0.001
1000003,MY11,20170606,1001341,0.003
1000003,MY11,20170606,1001898,0.075
1000003,MY11,20170606,1000344,0.02
1000003,MY11,20170606,1001406,0.03
1000003,MY11,20170607,1000453,0.01
1000003,MY11,20170607,1001479,0.02
1000003,MY11,20170607,1000072,0.012
1000003,MY11,20170608,1000426,0.01
1000003,MY11,20170608,1000171,0.02
1000003,MY11,20170609,1000853,0.005
1000003,MY11,20170609,1000128,0.001
1000003,MY11,20170609,1000426,0.04
1000003,MY11,20170609,1000125,0.02
1000003,MY11,20170609,1000609,0.15
1000003,MY11,20170609,1001931,0.1
1000003,MY11,20170610,1001717,0.01
1000003,MY11,20170610,1001479,0.08
1000003,MY11,20170611,1000767,0.005
1000003,MY11,20170613,1000731,0.115
1000003,MY11,20170613,1000125,0.02
1000003,MY11,20170613,1000476,0.02
1000003,MY11,20170613,1000432,0.003
1000003,MY11,20170613,1001964,0.005
1000003,MY11,20170614,1001053,0.03
1000003,MY11,20170614,1000427,0.01
1000003,MY11,20170614,1000428,0.004
1000003,MY11,20170614,1000465,0.006
1000003,MY11,20170614,1001451,0.005
1000003,MY11,20170614,1002702,0.02
1000003,MY11,20170615,1001340,0.001
1000003,MY11,20170615,1000136,0.002
1000003,MY11,20170615,1000165,0.005
1000003,MY11,20170616,1000461,0.005
1000003,MY11,20170616,1001898,0.075
1000003,MY11,20170616,1001233,0.003
1000003,MY11,20170616,1001016,0.007
1000003,MY11,20170616,1000165,0.005
1000003,MY11,20170616,1001449,0.00E+00
1000003,MY11,20170617,1000712,0.01
1000003,MY11,20170619,1000430,0.01
1000003,MY11,20170619,1000439,0.01
1000003,MY11,20170619,1001898,0.075
1000003,MY11,20170619,1002647,0.002
1000003,MY11,20170619,1001053,0.00E+00
1000003,MY11,20170619,1000427,0.005
1000003,MY11,20170619,1001684,0.01
1000003,MY11,20170619,1001450,0.005
1000003,MY11,20170619,1001449,0.002
1000003,MY11,20170619,1001341,0.00E+00
1000003,MY11,20170619,1000378,0.00E+00
1000003,MY11,20170619,1000443,0.005
1000003,MY11,20170619,1001446,0.003
1000003,MY11,20170619,1001447,0.005
1000003,MY11,20170619,1001339,0.005
1000003,MY11,20170620,1001632,0.006
1000003,MY11,20170621,1001717,0.00E+00
1000003,MY11,20170621,1001479,0.065
1000003,MY11,20170621,1001604,0.01
1000003,MY11,20170621,1000452,0.01
1000003,MY11,20170621,1001016,0.00E+00
1000003,MY11,20170621,1000450,0.003
1000003,MY11,20170621,1000470,0.01
1000003,MY11,20170622,1001604,0.02
1000003,MY11,20170628,1001656,0.005
1000003,MY11,20170629,1000884,0.005
1000003,MY11,20170630,9000000,0.046
1000003,MY11,20170630,9000002,0.01
1000003,MY11,20170630,1000165,0.01
1000003,MY11,20170630,9000003,0.005
1000003,MY11,20170630,9000004,0.003
1000003,MY11,20170702,1001378,0.03
1000003,MY11,20170702,1000731,0.03
1000003,MY11,20170703,1002005,0.002
1000003,MY11,20170703,1000469,0.02
1000003,MY11,20170703,1000458,0.03
1000003,MY11,20170703,1000590,0.005
1000003,MY11,20170703,1000884,0.00E+00
1000003,MY11,20170703,1000453,0.01
1000003,MY11,20170705,1001717,0.01
1000003,MY11,20170705,1000465,0.003
1000003,MY11,20170705,1000731,0.00E+00
1000003,MY11,20170705,1001053,0.00E+00
1000003,MY11,20170706,1001479,0.00E+00
1000003,MY11,20170706,1001451,0.003
1000003,MY11,20170706,1000171,0.00E+00
1000003,MY11,20170706,1001233,0.003
1000003,MY11,20170706,1001656,0.015
1000003,MY11,20170707,1000929,0.005
1000003,MY11,20170707,1000818,0.002
1000003,MY11,20170707,1000452,0.01
1000003,MY11,20170707,1001340,0.001
1000003,MY11,20170707,1000442,0.005
1000003,MY11,20170708,1000428,0.005
1000003,MY11,20170708,1000461,0.005
1000003,MY11,20170708,1001604,0.007
1000003,MY11,20170708,1000243,0.003
1000003,MY11,20170708,1000448,0.004
1000003,MY11,20170709,1000884,0.00E+00
1000003,MY11,20170710,1001737,0.006
1000003,MY11,20170710,1000165,0.00E+00
1000003,MY11,20170710,1000731,0.00E+00
1000003,MY11,20170710,1001341,0.00E+00
1000003,MY11,20170710,1000643,0.00E+00
1000003,MY11,20170710,1000069,0.2
1000003,MY11,20170710,1001479,0.00E+00
1000003,MY11,20170710,1000197,0.02
1000003,MY11,20170711,1001224,0.002
1000003,MY11,20170711,1000161,0.00E+00
1000003,MY11,20170711,1000378,0.035
1000003,MY11,20170712,1000950,0.00E+00
1000003,MY11,20170712,1000602,0.00E+00
1000003,MY11,20170712,1001632,0.00E+00
1000003,MY11,20170712,1002287,0.025
1000003,MY11,20170712,1001406,0.03
1000003,MY11,20170713,9000002,0.02
1000003,MY11,20170713,1000072,0.00E+00
1000003,MY11,20170713,1001801,0.00E+00
1000003,MY11,20170713,1000921,0.00E+00
1000003,MY11,20170713,1000197,0.00E+00
1000003,MY11,20170713,1000884,0.00E+00
1000003,MY11,20170713,1001341,0.003
1000003,MY11,20170713,1000204,0.002
1000003,MY11,20170713,1001016,0.005
1000003,MY11,20170713,1001378,0.00E+00
1000003,MY11,20170713,1000767,0.00E+00
1000003,MY11,20170713,1001737,0.00E+00
1000003,MY11,20170713,9000000,0.001
1000003,MY11,20170713,1000136,0.002
1000003,MY11,20170714,1000473,0.002
1000003,MY11,20170714,1000130,0.00E+00
1000003,MY11,20170714,1001736,0.00E+00
1000003,MY11,20170714,1000712,0.00E+00
1000003,MY11,20170714,1001632,0.006
1000003,MY11,20170716,1000712,0.00E+00
1000003,MY11,20170717,1000712,0.01
1000003,MY11,20170717,1000440,0.01
1000003,MY11,20170717,1000125,0.00E+00
1000003,MY11,20170717,1001074,0.00E+00
1000003,MY11,20170717,1000074,0.00E+00
1000003,MY11,20170717,1000853,0.00E+00
1000003,MY11,20170717,1001931,0.00E+00
1000003,MY11,20170717,1001450,0.005
1000003,MY11,20170717,1000740,0.00E+00
1000003,MY11,20170717,1001234,0.00E+00
1000003,MY11,20170717,1001447,0.00E+00
1000003,MY11,20170717,1001136,0.001
1000003,MY11,20170717,1001656,0.00E+00
1000003,MY11,20170718,1001717,0.00E+00
1000003,MY11,20170718,1001451,0.00E+00
1000003,MY11,20170718,1001448,0.00E+00
1000003,MY11,20170718,1000161,0.00E+00
1000003,MY11,20170718,1000767,0.00E+00
1000003,MY11,20170718,1002005,0.00E+00
1000003,MY11,20170718,1002813,0.005
1000003,MY11,20170718,1000243,0.00E+00
1000003,MY11,20170718,1000843,0.002
1000003,MY11,20170718,1001345,0.001
1000003,MY11,20170718,1001016,0.00E+00
1000003,MY11,20170719,1000767,0.003
1000003,MY11,20170719,1000485,0.005
1000003,MY11,20170719,1001931,0.006
1000003,MY11,20170720,1000954,0.02
1000003,MY11,20170720,1000378,0.003
1000003,MY11,20170721,1000436,0.02
1000003,MY11,20170721,1000243,0.002
1000003,MY11,20170722,1000378,0.02
1000003,MY11,20170723,9000004,0.001
1000003,MY11,20170724,1001737,0.006
1000003,MY11,20170724,1000125,0.02
1000003,MY11,20170724,1001604,0.003
1000003,MY11,20170724,9000005,0.01
1000003,MY11,20170724,1001449,0.00E+00
1000003,MY11,20170724,1000929,0.005
1000003,MY11,20170725,1000843,0.002
1000003,MY11,20170725,1001224,0.004
1000003,MY11,20170725,1000433,0.002
1000003,MY11,20170726,9000005,0.001
1000003,MY11,20170726,1000429,0.004
1000003,MY11,20170726,1000463,0.01
1000003,MY11,20170726,9000000,0.002
1000003,MY11,20170726,1000130,0.02
1000003,MY11,20170727,1001696,0.01
1000003,MY11,20170727,1001717,0.02
1000003,MY11,20170728,1000740,0.01
1000003,MY11,20170729,1000171,0.01
1000003,MY11,20170730,1001378,0.04
1000003,MY11,20170731,1000884,0.005
1000003,MY11,20170731,1000161,0.00E+00
1000003,MY11,20170731,1000643,0.005
1000003,MY11,20170801,9000004,0.005
1000003,MY11,20170801,1002026,0.002
1000003,MY11,20170801,1000461,0.002
1000003,MY11,20170801,1000590,0.01
1000003,MY11,20170801,1001632,0.006
1000003,MY11,20170801,1002005,0.003
1000003,MY11,20170801,1001604,0.00E+00
1000003,MY11,20170801,1000161,0.012
1000003,MY11,20170801,1001136,0.003
1000003,MY11,20170801,1000453,0.01
1000003,MY11,20170801,1000731,0.02
1000003,MY11,20170801,1000664,0.004
1000003,MY11,20170801,1001801,0.02
1000003,MY11,20170801,1000950,0.01
1000003,MY11,20170802,1000136,0.002
1000003,MY11,20170802,1000436,0.02
1000003,MY11,20170802,1001931,0.1
1000003,MY11,20170802,9000005,0.004
1000003,MY11,20170802,1001339,0.004
1000003,MY11,20170802,1001964,0.005
1000003,MY11,20170802,1001450,0.005
1000003,MY11,20170802,1001449,0.01
1000003,MY11,20170803,1002013,0.01
1000003,MY11,20170803,1000474,0.001
1000003,MY11,20170804,1001341,0.003
1000003,MY11,20170804,1001451,0.03
1000003,MY11,20170804,1001307,0.005
1000003,MY11,20170804,1001453,0.03
1000003,MY11,20170805,1000426,0.02
1000003,MY11,20170805,1000461,0.004
1000003,MY11,20170805,1000441,0.002
1000003,MY11,20170806,9000003,0.011
1000003,MY11,20170807,1001016,0.006
1000003,MY11,20170807,1000165,0.015
1000003,MY11,20170807,9000005,0.001
1000003,MY11,20170807,1000197,0.02
1000003,MY11,20170807,1000843,0.002
1000003,MY11,20170808,1001659,0.025
1000003,MY11,20170808,1000599,0.01
1000003,MY11,20170808,1001053,0.01
1000003,MY11,20170808,1000954,0.03
1000003,MY11,20170808,1001451,0.03
1000003,MY11,20170808,1000921,0.03
1000003,MY11,20170809,1002287,0.1
1000003,MY11,20170809,1001656,0.01
1000003,MY11,20170809,1000818,0.003
1000003,MY11,20170810,1001451,0.002
1000003,MY11,20170810,1000884,0.00E+00
1000003,MY11,20170810,1001737,0.003
1000003,MY11,20170810,1000818,0.003
1000003,MY11,20170810,1000767,0.003
1000003,MY11,20170810,1001446,0.003
1000003,MY11,20170811,1001659,0.00E+00
1000003,MY11,20170811,1000171,0.00E+00
1000003,MY11,20170811,1001341,0.003
1000003,MY11,20170811,1001406,0.00E+00
1000003,MY11,20170811,1001604,0.001
1000003,MY11,20170811,1001931,0.01
1000003,MY11,20170811,1000126,0.01
1000003,MY11,20170811,1002702,0.00E+00
1000003,MY11,20170811,1000136,0.002
1000003,MY11,20170812,1000448,0.003
1000003,MY11,20170812,1000126,0.02
1000003,MY11,20170812,1002813,0.003
1000003,MY11,20170812,1000461,0.003
1000003,MY11,20170813,1000161,0.01
1000003,MY11,20170814,1002005,0.003
1000003,MY11,20170814,1000599,0.05
1000003,MY11,20170814,1001604,0.00E+00
1000003,MY11,20170814,1001659,0.025
1000003,MY11,20170814,9000003,0.009
1000003,MY11,20170814,1000443,0.005
1000003,MY11,20170815,1000853,0.01
1000003,MY11,20170815,1001345,0.00E+00
1000003,MY11,20170815,1000767,0.01
1000003,MY11,20170815,1001604,0.00E+00
1000003,MY11,20170816,1000269,0.03
1000003,MY11,20170816,1000602,0.01
1000003,MY11,20170816,1001521,0.003
1000003,MY11,20170816,1000433,0.002
1000003,MY11,20170817,1001604,0.005
1000003,MY11,20170817,1000126,0.025
1000003,MY11,20170817,9000004,0.005
1000003,MY11,20170818,1001339,0.001
1000003,MY11,20170818,1000800,0.00E+00
1000003,MY11,20170818,1000445,0.005
1000003,MY11,20170818,1000929,0.00E+00
1000003,MY11,20170819,1001717,0.01
1000003,MY11,20170819,1000434,0.01
1000003,MY11,20170821,1000130,0.00E+00
1000003,MY11,20170821,1000643,0.005
1000003,MY11,20170821,1002287,0.1
1000003,MY11,20170821,1001737,0.005
1000003,MY11,20170821,1000428,0.003
1000003,MY11,20170821,1000128,0.001
1000003,MY11,20170822,1001623,0.001
1000003,MY11,20170822,1001604,0.00E+00
1000003,MY11,20170822,1000843,0.003
1000003,MY11,20170822,1000468,0.02
1000003,MY11,20170822,1001632,0.006
1000003,MY11,20170823,1000069,0.1
1000003,MY11,20170823,1001406,0.02
1000003,MY11,20170823,1001450,0.005
1000003,MY11,20170823,1000344,0.004
1000003,MY11,20170823,9000004,0.002
1000003,MY11,20170824,1001656,0.01
1000003,MY11,20170824,1001604,0.006
1000003,MY11,20170824,1001016,0.008
1000003,MY11,20170825,1000474,0.002
1000003,MY11,20170825,1001898,0.075
1000003,MY11,20170826,1000884,0.005
1000003,MY11,20170826,1001604,0.006
1000003,MY11,20170826,1001696,0.01
1000003,MY11,20170827,1002005,0.003
1000003,MY11,20170828,1000243,0.002
1000003,MY11,20170828,1000450,0.01
1000003,MY11,20170828,1000452,0.005
1000003,MY11,20170828,1000378,0.03
1000003,MY11,20170829,1001855,0.09
1000003,MY11,20170829,9000000,0.029
1000003,MY11,20170830,1000136,0.004
1000003,MY11,20170830,1000740,0.01
1000003,MY11,20170831,1002287,0.00E+00
1000003,MY11,20170831,1001898,0.00E+00
1000003,MY11,20170831,9000002,0.01
1000003,MY11,20170831,1000415,0.01
1000003,MY11,20170901,1000451,0.003
1000003,MY11,20170903,1001340,0.005
1000003,MY11,20170904,1001136,0.002
1000003,MY11,20170904,1000165,0.02
1000003,MY11,20170905,1000731,0.03
1000003,MY11,20170905,1000485,0.005
1000003,MY11,20170905,1001737,0.005
1000003,MY11,20170905,1000440,0.05
1000003,MY11,20170905,1002005,0.033
1000003,MY11,20170905,1001632,0.006
1000003,MY11,20170905,1001604,0.004
1000003,MY11,20170905,1000464,0.003
1000003,MY11,20170905,1000429,0.01
1000003,MY11,20170905,1000126,0.03
1000003,MY11,20170905,1000204,0.005
1000003,MY11,20170906,1000462,0.003
1000003,MY11,20170906,1000884,0.00E+00
1000003,MY11,20170906,1001341,0.005
1000003,MY11,20170906,1000449,0.005
1000003,MY11,20170907,1000461,0.01
1000003,MY11,20170907,1000344,0.004
1000003,MY11,20170907,1001717,0.01
1000003,MY11,20170907,1001307,0.005
1000003,MY11,20170907,1000448,0.002
1000003,MY11,20170907,1000474,0.001
1000003,MY11,20170907,1000441,0.002
1000003,MY11,20170907,1001451,0.005
1000003,MY11,20170907,1000465,0.005
1000003,MY11,20170907,1000843,0.00E+00
1000003,MY11,20170908,1000740,0.005
1000003,MY11,20170908,1001659,0.00E+00
1000003,MY11,20170908,1001451,0.00E+00
1000003,MY11,20170908,1001898,0.00E+00
1000003,MY11,20170908,1001074,0.01
1000003,MY11,20170909,1000432,0.01
1000003,MY11,20170910,1000712,0.03
1000003,MY11,20170910,1001451,0.00E+00
1000003,MY11,20170911,1000853,0.02
1000003,MY11,20170911,1000843,0.002
1000003,MY11,20170911,1001656,0.01
1000003,MY11,20170911,1001717,0.01
1000003,MY11,20170911,1001378,0.02
1000003,MY11,20170911,1000767,0.01
1000003,MY11,20170911,1001016,0.015
1000003,MY11,20170911,1000430,0.003
1000003,MY11,20170911,1001341,0.003
1000003,MY11,20170911,1000434,0.01
1000003,MY11,20170911,1000378,0.00E+00
1000003,MY11,20170911,1000450,0.01
1000003,MY11,20170911,1001446,0.003
1000003,MY11,20170911,1001855,0.09
1000003,MY11,20170912,1001623,0.001
1000003,MY11,20170912,1000136,0.004
1000003,MY11,20170912,1000590,0.02
1000003,MY11,20170912,1001656,0.01
1000003,MY11,20170913,1001717,0.00E+00
1000003,MY11,20170913,1001016,0.00E+00
1000003,MY11,20170913,1000161,0.05
1000003,MY11,20170914,1000471,0.02
1000003,MY11,20170914,1000458,0.02
1000003,MY11,20170914,1000171,0.015
